ra,dec,mag,ci
4.329889,15.627642,3.65,0.981
9.525453,63.061861,3.65,0.36
15.769793,15.421826,3.65,0.073
18.11052,-50.091477,3.65,-0.101
22.480531,-0.019972,3.65,0.406
15.463818,29.105703,3.66,0.319
15.64427,-29.777754,3.66,-0.177
14.073165,64.37585,3.67,-0.049
20.913498,-58.454155,3.67,1.25
4.853434,5.605104,3.68,-0.157
8.726539,-33.186385,3.68,-0.18
19.789795,18.534286,3.68,1.313
23.157443,-21.17241,3.68,1.202
0.616188,53.896909,3.69,-0.196
1.932564,-51.608896,3.69,0.844
5.041301,41.075837,3.69,1.154
9.754117,-62.507903,3.69,1.01
11.767515,47.779406,3.69,1.181
21.668181,-16.662308,3.69,0.32
3.325278,-21.757864,3.7,1.614
17.962744,29.24788,3.7,0.935
23.286094,3.282289,3.7,0.916
4.904193,2.440672,3.71,-0.179
5.940082,-14.1677,3.71,0.337
7.870288,-40.575786,3.71,1.012
15.846935,4.47773,3.71,0.147
18.122496,9.563847,3.71,0.159
19.921887,6.406763,3.71,0.855
3.548848,-9.458262,3.72,0.881
3.747927,24.113339,3.72,-0.105
5.992111,54.284656,3.72,1.01
21.082184,43.927852,3.72,1.609
3.45282,9.73268,3.73,-0.082
14.770812,1.892885,3.73,-0.005
17.892134,56.872643,3.73,1.177
21.691253,-77.390046,3.73,1.008
22.87691,-7.579599,3.73,1.626
1.857676,-10.335038,3.74,1.136
16.365338,19.15313,3.74,0.299
21.246517,38.045317,3.74,0.393
9.069248,-47.097737,3.75,1.174
17.798211,2.707276,3.75,0.043
5.560421,-62.489825,3.76,0.64
5.855357,-20.879089,3.76,0.984
6.480297,-7.033062,3.76,-0.113
19.07805,-21.741496,3.76,1.012
19.495098,51.729779,3.76,0.148
22.521515,50.282491,3.76,0.031
2.844945,55.895496,3.77,1.69
3.753232,42.578549,3.77,0.425
4.382247,17.542514,3.77,0.983
5.645769,-2.600069,3.77,-0.19
8.428951,-66.13689,3.77,1.132
8.677103,-46.648744,3.77,0.67
16.82976,-59.041378,3.77,1.562
20.660635,15.912072,3.77,-0.057
21.444452,-22.411332,3.77,1.002
22.116847,25.345112,3.77,0.435
7.145788,-70.498932,3.78,1.006
7.428779,27.79808,3.78,1.024
9.849867,59.038735,3.78,0.291
10.891559,-58.853171,3.78,0.945
14.68582,13.7283,3.78,0.044
20.794598,-9.495776,3.78,0
3.158258,44.857544,3.79,0.98
10.888526,34.214871,3.79,1.04
3.201249,-28.987618,3.8,0.543
7.647186,-26.803836,3.8,-0.159
15.580041,10.538867,3.8,0.268
19.28504,53.368459,3.8,0.95
20.227196,46.741329,3.8,1.27
4.592512,-30.562341,3.81,0.957
10.464649,-58.739403,3.81,0.317
15.712381,26.295637,3.81,0.02
23.626056,46.458152,3.81,0.984
2.034117,2.763759,3.82,0.024
9.314069,36.802597,3.82,0.066
11.523407,69.331076,3.82,1.613
16.515229,1.983923,3.82,0.022
17.657747,46.006332,3.82,-0.179
10.434842,-16.83629,3.83,1.456
13.971186,-42.100753,3.83,-0.224
14.797701,-79.044751,3.83,1.433
