num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
99,Dike,59000,2.6648734,0.19496105,13.84752,195.71249,41.51414,334.9314336,9.5,0.15,,,thumb/b/bc/99Dike_%28Lightcurve_Inversion%29.png/250px-99Dike_%28Lightcurve_Inversion%29.png
100,Hekate,59000,3.0894318,0.16955529,6.43199,184.38634,127.18163,319.3062918,7.6,0.15,,,
101,Helena,59000,2.5830776,0.14058446,10.19686,348.36912,343.38252,208.2023468,8.2,0.35,,,
102,Miriam,59000,2.6623335,0.25110586,5.17285,147.02459,210.79786,341.9682193,9.3,0.15,,,
103,Hera,59000,2.702141,0.07923612,5.41835,188.6795,136.07974,83.7033625,7.6,0.15,,,
104,Klymene,59000,3.1461712,0.16085369,2.78972,31.75866,41.67664,349.0838567,8.4,0.15,,,
105,Artemis,59000,2.3737993,0.17729353,21.43974,57.10668,188.24188,274.1524633,8.7,0.1,,,
106,Dione,59000,3.1830274,0.15987712,4.57648,330.87034,62.04056,293.4039181,7.5,0.15,,,
108,Hecuba,59000,3.2374664,0.05564043,4.22024,206.00387,349.97853,42.1661987,8,0.15,,,
109,Felicitas,59000,2.6944725,0.29913952,7.84485,57.60728,2.76834,340.978111,9,0.04,,,
110,Lydia,59000,2.7335512,0.08136326,5.96249,282.54332,56.86235,294.8461615,7.9,0.2,,,thumb/5/54/110Lydia_%28Lightcurve_Inversion%29.png/265px-110Lydia_%28Lightcurve_Inversion%29.png
111,Ate,59000,2.5959208,0.10211487,4.93303,166.98367,305.71046,160.3595166,8.2,0.15,,,
112,Iphigenia,59000,2.4337136,0.12796471,2.59953,17.31376,323.40779,172.7400304,9.8,0.15,,,
113,Amalthea,59000,2.3762879,0.0866168,5.04298,78.68011,123.44666,243.6948733,8.5,0.35,,,
114,Kassandra,59000,2.6780609,0.13675373,4.94091,352.76718,164.07383,151.2944131,8.3,0.15,,,
115,Thyra,59000,2.3790833,0.19319276,11.59421,97.06413,308.79612,124.227171,7.6,0.12,,,thumb/c/cf/115Thyra_%28Lightcurve_Inversion%29.png/220px-115Thyra_%28Lightcurve_Inversion%29.png
116,Sirona,59000,2.767101,0.14184044,3.56392,94.41507,63.712,307.9930645,7.8,0.15,,,
117,Lomia,59000,2.9929975,0.02676967,14.89921,50.36193,348.7371,226.3618929,8,0.15,,,
118,Peitho,59000,2.4369014,0.16462562,7.74533,33.32877,47.67844,53.870467,8.9,0.15,,,
119,Althaea,59000,2.5819046,0.08074129,5.78539,171.38481,203.64717,86.0219234,8.3,0.15,,,thumb/b/ba/119Althaea_%28Lightcurve_Inversion%29.png/250px-119Althaea_%28Lightcurve_Inversion%29.png
120,Lachesis,59000,3.1186205,0.05202197,6.96309,233.96398,341.16256,305.5434848,7.8,0.15,,,
122,Gerda,59000,3.2232559,0.03126639,1.64057,321.4881,178.12282,41.98803,7.7,0.15,,,
123,Brunhild,59000,2.6952236,0.12062036,6.41436,125.6748,307.72515,49.052192,8.9,0.15,,,
124,Alkeste,59000,2.6299267,0.07551614,2.95746,62.15469,187.97478,306.4612722,8.1,0.19,,,
125,Liberatrix,59000,2.7436535,0.07794181,4.6642,110.0107,168.98123,250.8239056,8.8,0.33,,,thumb/5/55/125Liberatrix_%28Lightcurve_Inversion%29.png/250px-125Liberatrix_%28Lightcurve_Inversion%29.png
126,Velleda,59000,2.4400635,0.1061257,2.92312,327.83525,23.27422,305.0832579,9.2,0.15,,,
127,Johanna,59000,2.7555093,0.06677181,8.24391,93.5401,31.14508,10.5874268,8.6,0.15,,,thumb/a/a8/127Johanna_%28Lightcurve_Inversion%29.png/250px-127Johanna_%28Lightcurve_Inversion%29.png
128,Nemesis,59000,2.7489426,0.12767521,6.24531,303.62015,76.2377,158.5974897,7.8,0.15,,,thumb/1/18/128_Nemesis_%28orbit%29.gif/220px-128_Nemesis_%28orbit%29.gif
129,Antigone,59000,2.8703586,0.21259382,12.26693,111.24665,135.667,21.0557959,7.2,0.33,,,thumb/b/b3/129Antigone_%28Lightcurve_Inversion%29.png/250px-129Antigone_%28Lightcurve_Inversion%29.png
131,Vala,59000,2.4318973,0.06737124,4.96089,160.61564,65.65618,293.1022359,9.9,0.15,,,
132,Aethra,59000,2.60814,0.38955942,24.99379,255.17587,258.39251,6.0229252,8.9,0.15,,,thumb/8/80/132Aethra_%28Lightcurve_Inversion%29.png/265px-132Aethra_%28Lightcurve_Inversion%29.png
133,Cyrene,59000,3.0646343,0.13522845,7.2136,290.13092,319.00505,213.0547857,7.8,0.13,,,
134,Sophrosyne,59000,2.5650191,0.11557124,11.59916,84.67822,345.92228,206.2033447,9,0.28,,,
135,Hertha,59000,2.4283641,0.20690661,2.30387,340.18133,343.5719,82.2672289,8.2,0.15,,,thumb/3/35/135Hertha_%28Lightcurve_Inversion%29.png/265px-135Hertha_%28Lightcurve_Inversion%29.png
136,Austria,59000,2.2873676,0.08530004,9.57757,132.56117,186.43007,331.2585979,9.7,0.15,,,
