name,type,epoch,orbiting,orbitRef,a,e,w,m,inc,omega,lDot,P,wDot,omegaDot,H,radius,orbitRA,orbitDec,tilt,info,wiki,wikipic
Kerberos,3,51544,Pluto,Q,57729,0,160.629,161.061,0.426,305.871,408769.448490844,32.17,0,9.27,,6.35,,,,,Kerberos_(moon),thumb/2/23/Kerberos_%28moon%29.jpg/330px-Kerberos_%28moon%29.jpg
Nix,3,51544,Pluto,Q,48671,0,324.463,284.405,0,203.4,529042.079112174,24.85,0,0,,19.15,,,,,Nix_(moon),thumb/5/51/Nix_best_view.jpg/330px-Nix_best_view.jpg
Styx,3,51544,Pluto,Q,42393,0.0006,330.244,194.546,0.08,26.956,652170.192665346,20.16,3710.58,5162.64,,5.5,,,,,Styx_(moon),3/38/Styx_%28moon%29.jpg
Charon,2,51544,Pluto,Q,19591,0.0002,146.106,131.07,0.08,26.928,2058676.94299711,6.387,10178.04,9020.398,,606,,,,,Charon_(moon),thumb/2/2e/Charon_in_True_Color_-_High-Res.jpg/330px-Charon_in_True_Color_-_High-Res.jpg
Weywot,3,51344,Quaoar,E,14500,0.148,348,,14,,,12.438,,,,85,,,,,,
Actaea,3,51344,120347 Salacia,E,5724,0.0098,134,,23.59,45.2,,5.493882,,,1.9,142,,,,,,
Aegir,3,51544,Saturn,E,20751000,0.2524,242.651,26.017,166.668,179.064,11763.1761370694,1117.83,273.91,350.18,15.5,3,,,,,Aegir_(moon),
Albiorix,3,51544,Saturn,E,16393000,0.4797,55.932,32.828,34.06,102.512,16783.628499068,783.46,249.88,358.14,11.1,14.3,,,,,Albiorix_(moon),1/16/Albiorix_WISE-W4.jpg
Bebhionn,3,51544,Saturn,E,17116000,0.4682,358.141,168.045,35.101,199.128,15750.2707648138,834.86,236.57,342.06,15,3,,,,,Bebhionn_(moon),thumb/4/45/Bebhionn-cassini.png/375px-Bebhionn-cassini.png
Bergelmir,3,51544,Saturn,E,19336000,0.142,133.4,306.494,158.557,202.164,13073.9716469675,1005.76,359.7,424.95,15.2,2.5,,,,,Bergelmir_(moon),thumb/0/00/Bergelmir.png/375px-Bergelmir.png
Bestla,3,51544,Saturn,E,20209000,0.5145,81.185,239.156,145.136,288.308,12085.4454787079,1088.02,284.99,299.08,14.6,3.5,,,,,Bestla_(moon),thumb/f/f0/Bestla-cassini.png/375px-Bestla-cassini.png
Erriapus,3,51544,Saturn,E,17602000,0.4722,282.522,294.829,34.481,150.985,15094.3616509566,871.14,219.9,323.49,13.7,5,,,,,Erriapus,thumb/7/7b/Erriapus-discovery-CFHT.gif/375px-Erriapus-discovery-CFHT.gif
Farbauti,3,51544,Saturn,E,20390000,0.2414,342.995,282.813,156.52,135.109,12100.6657113541,1086.65,330.77,374.34,15.7,2.5,,,,,Farbauti_(moon),
Fenrir,3,51544,Saturn,E,22454000,0.1347,120.982,131.678,164.963,226.595,10432.9745566051,1260.35,276.77,332.99,15.9,2,,,,,Fenrir_(moon),
Fornjot,3,51544,Saturn,E,25146000,0.2077,324.787,214.499,170.372,259.946,8800.8411087941,1494.09,223.68,267.44,14.9,3,,,,,Fornjot_(moon),thumb/c/c2/Fornjot-cassini.png/375px-Fornjot-cassini.png
Greip,3,51544,Saturn,E,18457000,0.3146,152.16,314.541,174.8,349.35,14031.2903115723,937.14,280.23,385.9,15.4,2.5,,,,,Greip_(moon),thumb/d/de/Greip-cassini.png/375px-Greip-cassini.png
Hati,3,51544,Saturn,E,19868000,0.371,21.286,163.64,165.808,324.38,12641.354705503,1040.18,262.48,339.97,15.3,2.5,,,,,Hati_(moon),thumb/7/7f/Hati-cassini.png/375px-Hati-cassini.png
Hyrrokkin,3,51544,Saturn,E,18440000,0.3359,273.076,291.841,151.536,45.402,14110.5947731069,931.87,375.76,406.45,14.3,4,,,,,Hyrrokkin_(moon),thumb/9/97/Hyrrokkin-cassini.png/375px-Hyrrokkin-cassini.png
Ijiraq,3,51544,Saturn,E,11408000,0.2717,92.899,17.328,47.485,130.779,29128.7128108508,451.42,13807.37,935.12,13.2,6.5,,,,,Ijiraq_(moon),4/44/Ijiraq-discovery-CFHT.gif
Jarnsaxa,3,51544,Saturn,E,19354000,0.2178,237.422,198.75,163.649,22.519,13058.6235745942,1006.94,312.48,396.92,15.6,3,,,,,Jarnsaxa_(moon),
Kari,3,51544,Saturn,E,22093000,0.4756,163.935,286.021,156.067,281.211,10680.1398848836,1231.18,228.81,270.06,14.8,3,,,,,Kari_(moon),thumb/8/85/Kari-cassini.png/375px-Kari-cassini.png
